,balance_RK,balance_p_value,balance_rvalue,balance_stderr,decay_RC_cost,decay_RC_mean,decay_RC_median,decay_RC_std,decay_amnt,euler_RC_mean,euler_RC_median,euler_RC_min_cost,euler_RC_std,euler_RK_mean,euler_RK_median,euler_RK_min_cost,euler_RK_std,euler_cost,euler_cost_mean,euler_test_cost,filename
2386,87.28116414458181,0.004976819525753845,-0.6645995878004216,0.003442643656459759,72.11194124382072,144.0907837550883,145.94707518213977,12.227358673549453,6.0,202.8001455464465,206.64493259676738,213.36713083527766,43.893827195201666,132.6082413744804,135.35407626324235,145.78231193651675,17.131349696941456,9.657444239863283,8.113490961771028,,75409660ae4d8299ec17cff6db6caa5d0f49ce1f.csv
1657,16.0564951575357,4.917680602152226e-09,-0.8065788663794212,0.007945584737967375,,,,,,151.0447575061424,151.0447575061424,170.5387357252141,27.56864838201692,29.544586572150568,29.544586572150568,23.70624965928573,8.256655243876919,0.35450121570015863,10.78540807546341,,94116c54100c3ed4b238630c896acc0c59e39f89.csv
752,54.00205462098834,7.883772389784602e-12,-0.8440133948624554,0.0019088608359672332,,,,,,,,,,,,,,,,,2e3fca3ae24aef951725320b078942f76efea10a.csv
809,99.59761974287571,1.0034812588602106e-09,-0.793660650207487,0.0012484914222923849,,,,,,165.72063355389372,155.7475910987448,177.36113197062397,38.38745760095929,97.68462019755998,94.62729774718156,105.82315824734457,10.879222914160103,8.061681197794488,4.0873248234600075,,6b06804cd3a222b27ad1ab610edfb644d67b0ddb.csv
970,61.288987683563484,4.85840604535127e-06,-0.6533936929195434,0.003066600375085884,55.65425171316531,90.47292120309947,90.47292120309947,,1.0,116.97186027281998,118.51511403900844,120.41251926104276,32.020524234012285,60.30639324973742,58.44515681586362,59.51626232207792,8.311067331103278,37.09414507989858,15.652986389105205,,b821daa291d5b7d60e1560dc8d4728292a5211f2.csv
1422,21.152405049037032,6.002192024831555e-12,-0.8464146152740041,0.004825083719872263,,,,,,,,,,,,,,,,,67d48dc680a084ea6bf45d4166f0d21994b83d90.csv
2391,84.12892877554236,0.0003646549224020233,-0.7632332045645029,0.002598166813675681,39.83361234553613,86.83097616952261,85.2950128842463,3.08414664828894,3.0,138.89683380703258,129.92621911750538,146.00274806652166,24.759578176732578,112.08226897333722,112.00914368155202,115.8558606847278,10.425145544467965,11.951721506005693,5.100930950140702,,0d8bf72fa682621b7a31acb63a4257c9d5db9de6.csv
1228,157.43446603579372,5.5502647663983786e-06,-0.6637734197855572,0.0011928674531175767,,,,,,,,,,,,,,,,,0a266c60a7b66c34fbc85cdc12c71b5ec7c4407b.csv
850,110.42671372220333,7.38948618474098e-06,-0.678788790465375,0.0017054052562456886,20.58711005634829,77.50483613175878,79.39440300023047,10.045817068670898,3.0,120.21787779122927,127.55863772282353,174.37316615017093,39.852399987983894,79.30536178075346,74.71307383535361,66.00711739449537,35.34025339076919,3.012720814135625,274.71825078121685,,7e5909ca63efb4e1348ea0684331c5723e22391d.csv
2196,125.5757239208379,8.515472691528653e-07,-0.7247444113580602,0.0013179013728411284,,,,,,287.8575185744572,228.0394647548003,228.0394647548003,154.8818785439228,169.8310274314744,134.48959877659485,134.48959877659485,70.13384799919176,0.8796275823692903,3.17207110264307,,c01944ce3853b99f710352ad1f6b8956d1bcf7c4.csv
702,85.64812635644674,1.1575369730382352e-07,-0.7258640950092722,0.0017948215602842641,2.041306358229438,156.92809757982195,156.92809757982195,,1.0,188.50820200474638,185.52485209028504,189.6681674024384,72.02740599836198,84.83435191459002,82.1112897317615,88.44304166584185,16.924591211551938,1.1534160285773576,3.3689707647924654,,3a0972919a62f82f56fe9dddf0f8deb1bba3a963.csv
1043,62.04238477140921,3.651265758828707e-06,-0.6731113271429046,0.0029514519930844163,33.564802369379635,127.80353679786408,123.39320175877378,9.174504752831155,3.0,205.64819413308814,180.64078020049087,194.8419370119628,78.30221526253649,92.60226330844439,89.03207600201239,88.63735397152607,35.97106205426421,12.656569243172777,16.19771821676482,,4632429699fbe2ede78c6412dddf37edd67b0241.csv
501,133.12768257932328,3.5901884819329036e-08,-0.7647116543514001,0.0010698847119801512,,,,,,285.1590018688694,187.03896405104567,167.37989300124352,198.95082931296588,135.12106488889523,97.32752881950162,91.49076023419208,72.36835580948802,15.653594500696455,11.314163656614857,,12a5b7dbf0228865e89e285d58a7bbba24a19994.csv
1708,49.95292133358184,0.00038745775189310167,-0.7958070118245928,0.00422483657927572,,,,,,186.35910046059814,172.87653399121066,172.87653399121066,64.18027368246149,83.05143377799406,86.8566570788946,86.8566570788946,18.72020832188403,0.9660122496349595,15.045200035872936,,7929d1c918179378d1713f6ad2a20132bd83fa86.csv
1206,70.9407074110555,4.1154527121752336e-08,-0.7425962543816544,0.0020623660540557568,,,,,,141.33339649799788,133.58017981204998,101.26360822323188,53.44175901816628,94.24399416887775,91.51782068425106,86.09286694362501,18.174179780234407,27.997300816268147,19.16684969621837,,6bb9e8047519052407a8f28d4f0d47a9687d4773.csv
197,122.18249747605192,0.0026763905701823205,-0.7362647782216196,0.0021714928229921485,,,,,,245.70948391069444,245.70948391069444,251.05512825286016,7.559882728313753,155.56613137193716,155.56613137193716,165.88603479338147,14.594547380987068,45.14430110158345,107.61034987209271,,270a2fa9fb03320caded3a0a3d847025cec9d26f.csv
11,97.42224419202049,2.2396639942026816e-07,-0.7080769946307351,0.0016391434584971435,,,,,,,,,,,,,,,,,5170109a7154bb605cb5e9ff9933a551c7e155cb.csv
2027,82.2025966276353,1.693663911421226e-09,-0.7750306632406702,0.001568303734681641,,,,,,169.62646389487193,159.96914422847752,155.41226463442632,45.81233154452752,76.0103671571655,74.0968440528146,75.02079072212648,8.56977495756816,0.44165393677188614,3.699664668263383,,7290e301cd7da6bd3f3201a21bd5c034cec68ff7.csv
778,93.26817961182502,1.0952374128156784e-07,-0.7203787955625822,0.001652990535061793,,,,,,249.2427366554551,223.50590642691984,272.7667424843762,61.79825165616967,120.93327320769374,116.76722195920759,139.79745825287048,17.3384046694256,4.733336984090037,7.083752063853593,,e962bfed6917c8721c26bb81091f641900f840a9.csv
