T0,T0_variance,T_in_mean,T_out_mean,end_time,start_time,tau,tau_variance
31.361456785526087,0.00016954601250914,20.527777777777775,-10.63888888888889,2017-01-06 22:35:00,2017-01-06 22:00:00,2805.0081730372867,2.0412710655607116
20.055632586778916,9.153312941314694e-05,20.194444444444446,0.22222222222222143,2017-01-12 22:20:00,2017-01-12 22:05:00,1797.5016242380523,1.5811517419966374
23.88895354790708,7.677923191242492e-05,20.083333333333332,-3.7222222222222223,2017-02-04 22:15:00,2017-02-04 22:00:00,2142.5013648307736,1.581149883086521
21.89035086259744,0.0017442234010035752,18.888888888888886,-2.21455938697318,2017-02-06 00:20:00,2017-02-05 22:00:00,1899.4929257388471,3.5954710752598316
21.86126868774275,0.006211306800477786,20.555555555555554,-0.6767676767676764,2017-11-09 23:50:00,2017-11-09 22:05:00,1788.8158242984016,15.058991581443976
18.961315756400694,0.011693409449616632,21.752136752136757,3.183760683760684,2017-11-17 23:00:00,2017-11-17 22:00:00,1426.7365893911815,35.93045253145822
18.666943221190724,0.00018466474112462328,21.472222222222225,2.944444444444443,2017-11-23 22:25:00,2017-11-23 22:00:00,1667.5067487266447,1.8257832588544782
18.611277342811388,0.00013986120710626486,21.444444444444446,2.944444444444443,2017-11-23 22:25:00,2017-11-23 22:05:00,1665.0040029837778,1.707851068165073
20.6419579839117,0.007732133163946009,20.070570570570567,0.5360360360360357,2017-12-07 01:05:00,2017-12-06 22:05:00,1616.1735651742651,9.630977171251068
23.50367895868854,0.0057905286776469955,19.248084291187745,-2.373563218390805,2017-12-08 02:50:00,2017-12-07 22:05:00,1682.4155679991945,4.412955456052948
23.387780111677657,0.008477177826596257,20.090038314176244,-1.388888888888889,2017-12-09 02:45:00,2017-12-08 22:00:00,1648.7249469624746,6.240926046974857
23.175915451926027,0.012976808656379962,20.491452991452995,-2.290598290598291,2017-12-09 23:00:00,2017-12-09 22:00:00,1744.3786251977215,48.659699740852616
22.119988065532024,0.010697851385743045,19.668803418803417,-1.6239316239316237,2017-12-12 00:05:00,2017-12-11 22:00:00,1628.4271979696575,17.96193783126362
32.424601096900986,0.025356394506605526,18.67652329749104,-11.47849462365592,2017-12-13 03:05:00,2017-12-12 22:00:00,2074.8788431233056,19.79152421831507
30.04730725508186,0.016785952675161805,17.878888888888888,-10.513333333333335,2017-12-14 02:05:00,2017-12-13 22:00:00,2140.606693244426,18.55582270490896
30.18908012477504,0.026303268894671147,20.22222222222222,-9.777777777777779,2017-12-14 22:20:00,2017-12-14 22:00:00,1589.121190480047,180.40795207273268
32.70297654618389,0.025443461520871874,18.568253968253973,-11.35238095238095,2017-12-17 03:45:00,2017-12-16 22:00:00,1909.872902143329,14.889205889353605
17.55564357029905,0.0001046477298908874,20.361111111111107,2.8888888888888906,2017-12-19 22:15:00,2017-12-19 22:00:00,1572.501851421156,1.5811547416531626
23.54389710303573,0.00900996435887818,19.431286549707607,-2.809941520467836,2017-12-21 01:05:00,2017-12-20 22:00:00,1608.7009074449986,9.495880334117835
23.465545310640547,0.009222496029902863,19.396396396396398,-2.8033033033033035,2017-12-21 01:05:00,2017-12-20 22:05:00,1606.9616121423683,9.991939652987917
22.053411765562387,0.00893919369554286,19.830409356725145,-1.6491228070175439,2017-12-23 23:30:00,2017-12-23 22:00:00,1698.3184443001119,22.517186211894533
21.984946802989,0.009232783651903628,19.79938271604938,-1.6419753086419753,2017-12-23 23:30:00,2017-12-23 22:05:00,1689.5832596444404,24.411956790129395
23.40238701675134,0.01319972246486413,20.453703703703706,-2.777777777777778,2017-12-24 22:25:00,2017-12-24 22:00:00,1702.468157021367,108.49832283403985
23.344633729683114,0.013729497143848558,20.422222222222224,-2.7777777777777777,2017-12-24 22:25:00,2017-12-24 22:05:00,1606.5433871557143,124.4555616310056
35.065509789452385,0.02421711735262091,17.25136612021858,-14.820582877959927,2017-12-27 03:05:00,2017-12-26 22:05:00,1654.6417600068503,11.405990782938506
29.36408528439763,0.009424762973025382,18.065432098765434,-9.371604938271606,2018-01-04 01:45:00,2018-01-03 22:05:00,1601.140280447137,6.680542415999129
39.29943522864663,0.014805762793249216,16.204365079365083,-20.169642857142858,2018-01-06 02:40:00,2018-01-05 22:05:00,1753.4328207215674,7.569738240226052
18.111396180202636,0.00019038888430835885,20.527777777777775,2.5555555555555567,2018-01-08 22:25:00,2018-01-08 22:00:00,1617.5069530865492,1.8257856545809221
21.891185157443807,0.011905678833348839,19.904444444444444,-1.2044444444444442,2018-01-10 00:00:00,2018-01-09 22:00:00,1637.9169955132388,21.258419246204
30.981570564967,0.01251602370036525,17.383512544802866,-11.34767025089606,2018-01-13 03:05:00,2018-01-12 22:00:00,1995.729165759644,9.473951242354529
26.03393898165956,0.00824832158730668,18.261111111111113,-5.522222222222223,2018-01-16 02:55:00,2018-01-15 22:00:00,1605.5143339887077,5.013072721984767
29.374736476972316,0.011577132102547282,17.875448028673837,-9.18100358422939,2018-01-17 03:05:00,2018-01-16 22:00:00,1828.3681160278113,7.786925365947322
26.000059404612486,7.051923892518004e-05,19.805555555555557,-6.111111111111111,2018-01-17 22:15:00,2018-01-17 22:00:00,2332.501250911787,1.581146992008557
24.15482956634625,0.011340481768205957,18.190207156308855,-3.597928436911487,2018-01-19 02:50:00,2018-01-18 22:00:00,1380.6676148098065,5.628541152468825
19.79945877854282,0.011399790624964906,20.58080808080808,1.111111111111111,2018-01-22 22:55:00,2018-01-22 22:05:00,1483.4934334340012,43.25359115434731
